Date,Actual,Forecast,Previous
2024-12-16 00:00:00,58.5,55.7,56.1
2024-12-04 00:00:00,56.1,57.0,55.0
2024-11-22 00:00:00,57.0,55.2,55.0
2024-11-05 00:00:00,55.0,55.3,55.2
2024-10-24 00:00:00,55.3,55.0,55.2
2024-10-03 00:00:00,55.2,55.4,55.7
2024-09-23 00:00:00,55.4,55.3,55.7
2024-09-05 00:00:00,55.7,55.2,55.0
2024-08-22 00:00:00,55.2,54.0,55.0
2024-08-05 00:00:00,55.0,56.0,55.3
2024-07-24 00:00:00,56.0,54.7,55.3
2024-07-03 00:00:00,55.3,55.1,54.8
2024-06-21 00:00:00,55.1,53.4,54.8
2024-06-05 00:00:00,54.8,54.8,51.3
2024-05-23 00:00:00,54.8,51.2,51.3
2024-05-03 00:00:00,51.3,50.9,51.7
2024-04-23 00:00:00,50.9,52.0,51.7
2024-04-03 00:00:00,51.7,51.7,52.3
2024-03-21 00:00:00,51.7,52.0,52.3
2024-03-05 00:00:00,52.3,51.3,52.5
2024-02-22 00:00:00,51.3,52.4,52.5
2024-02-05 00:00:00,52.5,52.9,51.4
2024-01-24 00:00:00,52.9,51.0,51.4
2024-01-04 00:00:00,51.4,51.3,50.8
2023-12-15 00:00:00,51.3,50.6,50.8
2023-12-05 00:00:00,50.8,50.8,50.6
2023-11-24 00:00:00,50.8,50.4,50.6
2023-11-03 00:00:00,50.6,50.9,50.1
2023-10-24 00:00:00,50.9,49.8,50.1
2023-10-04 00:00:00,50.1,50.2,50.5
2023-09-22 00:00:00,50.2,50.6,50.5
2023-09-06 00:00:00,50.5,51.0,52.3
2023-08-23 00:00:00,51.0,52.3,52.3
2023-08-03 00:00:00,52.3,52.4,54.4
2023-07-24 00:00:00,52.4,54.0,54.4
2023-07-06 00:00:00,54.4,54.1,54.9
2023-06-23 00:00:00,54.1,54.0,54.9
2023-06-05 00:00:00,54.9,55.1,53.6
2023-05-23 00:00:00,55.1,52.6,53.6
2023-05-03 00:00:00,53.6,53.7,52.6
2023-04-21 00:00:00,53.7,51.5,52.6
2023-04-05 00:00:00,52.6,53.8,50.6
2023-03-24 00:00:00,53.8,50.5,50.6
2023-03-03 00:00:00,50.6,50.5,46.8
2023-02-21 00:00:00,50.5,47.2,46.8
2023-02-03 00:00:00,46.8,46.6,44.7
2023-01-24 00:00:00,46.6,45.0,44.7
2023-01-05 00:00:00,44.7,44.4,46.2
2022-12-16 00:00:00,44.4,46.8,46.2
