TIME_PERIOD,OBS_VALUE
1978-05,102.0888
1978-06,102.2167
1978-07,102.2792
1978-08,102.2672
1978-09,102.1826
1978-10,102.0329
1978-11,101.8394
1978-12,101.6385
1979-01,101.4598
1979-02,101.2857
1979-03,101.085
1979-04,100.8441
1979-05,100.5821
1979-06,100.31
1979-07,100.0406
1979-08,99.78531
1979-09,99.53492
1979-10,99.2695
1979-11,98.98663
1979-12,98.6935
1980-01,98.39201
1980-02,98.06556
1980-03,97.75488
1980-04,97.58282
1980-05,97.64168
1980-06,97.96606
1980-07,98.4838
1980-08,99.06625
1980-09,99.57548
1980-10,99.91162
1980-11,100.0486
1980-12,100.0316
1981-01,99.93677
1981-02,99.81578
1981-03,99.69353
1981-04,99.53881
1981-05,99.32253
1981-06,99.06082
1981-07,98.78819
1981-08,98.50948
1981-09,98.20306
1981-10,97.88143
1981-11,97.56531
1981-12,97.27885
1982-01,97.00916
1982-02,96.73814
1982-03,96.49438
1982-04,96.32479
1982-05,96.24638
1982-06,96.26563
1982-07,96.37004
1982-08,96.54539
1982-09,96.79558
1982-10,97.1151
1982-11,97.51587
1982-12,98.00648
1983-01,98.5736
1983-02,99.1898
1983-03,99.82419
1983-04,100.4437
1983-05,101.0136
1983-06,101.5013
1983-07,101.8904
1983-08,102.1811
1983-09,102.3936
1983-10,102.5355
1983-11,102.6125
1983-12,102.6268
1984-01,102.5826
1984-02,102.4693
1984-03,102.2798
1984-04,102.0225
1984-05,101.7266
1984-06,101.4162
1984-07,101.1234
1984-08,100.8674
1984-09,100.6653
1984-10,100.5238
1984-11,100.4287
1984-12,100.3582
1985-01,100.3038
1985-02,100.2524
1985-03,100.2101
1985-04,100.1756
1985-05,100.1453
1985-06,100.1193
1985-07,100.0876
1985-08,100.0593
1985-09,100.0392
1985-10,100.0335
1985-11,100.0484
1985-12,100.0797
1986-01,100.1055
1986-02,100.1139
1986-03,100.1059
1986-04,100.0907
1986-05,100.073
1986-06,100.0412
1986-07,99.99103
1986-08,99.93686
1986-09,99.88679
1986-10,99.8506
1986-11,99.85074
1986-12,99.9149
1987-01,100.0566
1987-02,100.2595
1987-03,100.4898
1987-04,100.708
1987-05,100.8916
1987-06,101.0217
1987-07,101.0783
1987-08,101.0407
1987-09,100.9148
1987-10,100.7316
1987-11,100.5442
1987-12,100.412
1988-01,100.3428
