Year,Month,Day,Leading_index
2000,8,20,100.3767
2000,8,21,100.3767
2000,8,22,100.3767
2000,8,23,100.3767
2000,8,24,100.3767
2000,8,25,100.3767
2000,8,26,100.3767
2000,8,27,100.3767
2000,8,28,100.3767
2000,8,29,100.3767
2000,8,30,100.3767
2000,8,31,100.3767
2000,9,1,100.1252
2000,9,2,100.1252
2000,9,3,100.1252
2000,9,4,100.1252
2000,9,5,100.1252
2000,9,6,100.1252
2000,9,7,100.1252
2000,9,8,100.1252
2000,9,9,100.1252
2000,9,10,100.1252
2000,9,11,100.1252
2000,9,12,100.1252
2000,9,13,100.1252
2000,9,14,100.1252
2000,9,15,100.1252
2000,9,16,100.1252
2000,9,17,100.1252
2000,9,18,100.1252
2000,9,19,100.1252
2000,9,20,100.1252
2000,9,21,100.1252
2000,9,22,100.1252
2000,9,23,100.1252
2000,9,24,100.1252
2000,9,25,100.1252
2000,9,26,100.1252
2000,9,27,100.1252
2000,9,28,100.1252
2000,9,29,100.1252
2000,9,30,100.1252
2000,10,1,99.82177
2000,10,2,99.82177
2000,10,3,99.82177
2000,10,4,99.82177
2000,10,5,99.82177
2000,10,6,99.82177
2000,10,7,99.82177
2000,10,8,99.82177
2000,10,9,99.82177
2000,10,10,99.82177
2000,10,11,99.82177
2000,10,12,99.82177
2000,10,13,99.82177
2000,10,14,99.82177
2000,10,15,99.82177
2000,10,16,99.82177
2000,10,17,99.82177
2000,10,18,99.82177
2000,10,19,99.82177
2000,10,20,99.82177
2000,10,21,99.82177
2000,10,22,99.82177
2000,10,23,99.82177
2000,10,24,99.82177
2000,10,25,99.82177
2000,10,26,99.82177
2000,10,27,99.82177
2000,10,28,99.82177
2000,10,29,99.82177
2000,10,30,99.82177
2000,10,31,99.82177
2000,11,1,99.47673
2000,11,2,99.47673
2000,11,3,99.47673
2000,11,4,99.47673
2000,11,5,99.47673
2000,11,6,99.47673
2000,11,7,99.47673
2000,11,8,99.47673
2000,11,9,99.47673
2000,11,10,99.47673
2000,11,11,99.47673
2000,11,12,99.47673
2000,11,13,99.47673
2000,11,14,99.47673
2000,11,15,99.47673
2000,11,16,99.47673
2000,11,17,99.47673
2000,11,18,99.47673
2000,11,19,99.47673
2000,11,20,99.47673
2000,11,21,99.47673
2000,11,22,99.47673
2000,11,23,99.47673
2000,11,24,99.47673
2000,11,25,99.47673
2000,11,26,99.47673
2000,11,27,99.47673
2000,11,28,99.47673
2000,11,29,99.47673
2000,11,30,99.47673
2000,12,1,99.10542
2000,12,2,99.10542
2000,12,3,99.10542
2000,12,4,99.10542
2000,12,5,99.10542
2000,12,6,99.10542
2000,12,7,99.10542
2000,12,8,99.10542
2000,12,9,99.10542
2000,12,10,99.10542
2000,12,11,99.10542
2000,12,12,99.10542
2000,12,13,99.10542
2000,12,14,99.10542
2000,12,15,99.10542
2000,12,16,99.10542
2000,12,17,99.10542
2000,12,18,99.10542
2000,12,19,99.10542
2000,12,20,99.10542
2000,12,21,99.10542
2000,12,22,99.10542
2000,12,23,99.10542
2000,12,24,99.10542
2000,12,25,99.10542
2000,12,26,99.10542
2000,12,27,99.10542
2000,12,28,99.10542
2000,12,29,99.10542
2000,12,30,99.10542
2000,12,31,99.10542
2001,1,1,98.76692
