Release Date,Time,Actual,Forecast,Previous,Unnamed: 5
"Jun 01, 1991 (May)",07:30,6.9%,Â,6.7%,
"May 01, 1991 (Apr)",07:30,6.7%,Â,6.8%,
"Apr 01, 1991 (Mar)",07:30,6.8%,Â,6.6%,
"Mar 01, 1991 (Feb)",07:30,6.6%,Â,6.4%,
"Feb 01, 1991 (Jan)",07:30,6.4%,Â,6.3%,
"Jan 01, 1991 (Dec)",07:30,6.3%,Â,6.2%,
"Dec 01, 1990 (Nov)",07:30,6.2%,Â,5.9%,
"Nov 01, 1990 (Oct)",07:30,5.9%,Â,5.9%,
"Oct 01, 1990 (Sep)",07:30,5.9%,Â,5.7%,
"Sep 01, 1990 (Aug)",07:30,5.7%,Â,5.5%,
"Aug 01, 1990 (Jul)",07:30,5.5%,Â,5.2%,
"Jul 01, 1990 (Jun)",07:30,5.2%,Â,5.4%,
"Jun 01, 1990 (May)",07:30,5.4%,Â,5.4%,
"May 01, 1990 (Apr)",07:30,5.4%,Â,5.2%,
"Apr 01, 1990 (Mar)",07:30,5.2%,Â,5.3%,
"Mar 01, 1990 (Feb)",07:30,5.3%,Â,5.4%,
"Feb 01, 1990 (Jan)",07:30,5.4%,Â,5.4%,
"Jan 01, 1990 (Dec)",07:30,5.4%,Â,5.4%,
"Dec 01, 1989 (Nov)",07:30,5.4%,Â,5.3%,
"Nov 01, 1989 (Oct)",07:30,5.3%,Â,5.3%,
"Oct 01, 1989 (Sep)",07:30,5.3%,Â,5.2%,
"Sep 01, 1989 (Aug)",07:30,5.2%,Â,5.2%,
"Aug 01, 1989 (Jul)",07:30,5.2%,Â,5.3%,
"Jul 01, 1989 (Jun)",07:30,5.3%,Â,5.2%,
"Jun 01, 1989 (May)",07:30,5.2%,Â,5.2%,
"May 01, 1989 (Apr)",07:30,5.2%,Â,5%,
"Apr 01, 1989 (Mar)",07:30,5%,Â,5.2%,
"Mar 01, 1989 (Feb)",07:30,5.2%,Â,5.4%,
"Feb 01, 1989 (Jan)",07:30,5.4%,Â,5.3%,
"Jan 01, 1989 (Dec)",07:30,5.3%,Â,5.3%,
"Dec 01, 1988 (Nov)",07:30,5.3%,Â,5.4%,
"Nov 01, 1988 (Oct)",07:30,5.4%,Â,5.4%,
"Oct 01, 1988 (Sep)",07:30,5.4%,Â,5.6%,
"Sep 01, 1988 (Aug)",07:30,5.6%,Â,5.4%,
"Aug 01, 1988 (Jul)",07:30,5.4%,Â,5.4%,
"Jul 01, 1988 (Jun)",07:30,5.4%,Â,5.6%,
"Jun 01, 1988 (May)",07:30,5.6%,Â,5.4%,
"May 01, 1988 (Apr)",07:30,5.4%,Â,5.7%,
"Apr 01, 1988 (Mar)",07:30,5.7%,Â,5.7%,
"Mar 01, 1988 (Feb)",07:30,5.7%,Â,5.7%,
"Feb 01, 1988 (Jan)",07:30,5.7%,Â,5.7%,
"Jan 01, 1988 (Dec)",07:30,5.7%,Â,5.8%,
"Dec 01, 1987 (Nov)",07:30,5.8%,Â,6%,
"Nov 01, 1987 (Oct)",07:30,6%,Â,5.9%,
"Oct 01, 1987 (Sep)",07:30,5.9%,Â,6%,
"Sep 01, 1987 (Aug)",07:30,6%,Â,6.1%,
"Aug 01, 1987 (Jul)",07:30,6.1%,Â,6.2%,
"Jul 01, 1987 (Jun)",07:30,6.2%,Â,6.3%,
"Jun 01, 1987 (May)",07:30,6.3%,Â,6.3%,
"May 01, 1987 (Apr)",07:30,6.3%,Â,6.6%,
"Apr 01, 1987 (Mar)",07:30,6.6%,Â,6.6%,
"Mar 01, 1987 (Feb)",07:30,6.6%,Â,6.6%,
"Feb 01, 1987 (Jan)",07:30,6.6%,Â,6.6%,
"Jan 01, 1987 (Dec)",07:30,6.6%,Â,6.9%,
"Dec 01, 1986 (Nov)",07:30,6.9%,Â,7%,
"Nov 01, 1986 (Oct)",07:30,7%,Â,7%,
"Oct 01, 1986 (Sep)",07:30,7%,Â,6.9%,
"Sep 01, 1986 (Aug)",07:30,6.9%,Â,7%,
"Aug 01, 1986 (Jul)",07:30,7%,Â,7.2%,
"Jul 01, 1986 (Jun)",07:30,7.2%,Â,7.2%,
"Jun 01, 1986 (May)",07:30,7.2%,Â,7.1%,
"May 01, 1986 (Apr)",07:30,7.1%,Â,7.2%,
"Apr 01, 1986 (Mar)",07:30,7.2%,Â,7.2%,
"Mar 01, 1986 (Feb)",07:30,7.2%,Â,6.7%,
"Feb 01, 1986 (Jan)",07:30,6.7%,Â,7%,
"Jan 01, 1986 (Dec)",07:30,7%,Â,7%,
"Dec 01, 1985 (Nov)",07:30,7%,Â,7.1%,
"Nov 01, 1985 (Oct)",07:30,7.1%,Â,7.1%,
"Oct 01, 1985 (Sep)",07:30,7.1%,Â,7.1%,
"Sep 01, 1985 (Aug)",07:30,7.1%,Â,7.4%,
"Aug 01, 1985 (Jul)",07:30,7.4%,Â,7.4%,
"Jul 01, 1985 (Jun)",07:30,7.4%,Â,7.2%,
"Jun 01, 1985 (May)",07:30,7.2%,Â,7.3%,
"May 01, 1985 (Apr)",07:30,7.3%,Â,7.2%,
"Apr 01, 1985 (Mar)",07:30,7.2%,Â,7.2%,
"Mar 01, 1985 (Feb)",07:30,7.2%,Â,7.3%,
"Feb 01, 1985 (Jan)",07:30,7.3%,Â,7.3%,
"Jan 01, 1985 (Dec)",07:30,7.3%,Â,7.2%,
"Dec 01, 1984 (Nov)",07:30,7.2%,Â,7.4%,
"Nov 01, 1984 (Oct)",07:30,7.4%,Â,7.3%,
"Oct 01, 1984 (Sep)",07:30,7.3%,Â,7.5%,
"Sep 01, 1984 (Aug)",07:30,7.5%,Â,7.5%,
"Aug 01, 1984 (Jul)",07:30,7.5%,Â,7.2%,
"Jul 01, 1984 (Jun)",07:30,7.2%,Â,7.4%,
"Jun 01, 1984 (May)",07:30,7.4%,Â,7.7%,
"May 01, 1984 (Apr)",07:30,7.7%,Â,7.8%,
"Apr 01, 1984 (Mar)",07:30,7.8%,Â,7.8%,
"Mar 01, 1984 (Feb)",07:30,7.8%,Â,8%,
"Feb 01, 1984 (Jan)",07:30,8%,Â,8.3%,
"Jan 01, 1984 (Dec)",07:30,8.3%,Â,8.5%,
"Dec 01, 1983 (Nov)",07:30,8.5%,Â,8.8%,
"Nov 01, 1983 (Oct)",07:30,8.8%,Â,9.2%,
"Oct 01, 1983 (Sep)",07:30,9.2%,Â,9.5%,
"Sep 01, 1983 (Aug)",07:30,9.5%,Â,9.4%,
"Aug 01, 1983 (Jul)",07:30,9.4%,Â,10.1%,
"Jul 01, 1983 (Jun)",07:30,10.1%,Â,10.1%,
"Jun 01, 1983 (May)",07:30,10.1%,Â,10.2%,
"May 01, 1983 (Apr)",07:30,10.2%,Â,10.3%,
"Apr 01, 1983 (Mar)",07:30,10.3%,Â,10.4%,
"Mar 01, 1983 (Feb)",07:30,10.4%,Â,10.4%,
"Feb 01, 1983 (Jan)",07:30,10.4%,Â,10.8%,
"Jan 01, 1983 (Dec)",07:30,10.8%,Â,10.8%,
"Dec 01, 1982 (Nov)",07:30,10.8%,Â,10.4%,
"Nov 01, 1982 (Oct)",07:30,10.4%,Â,10.1%,
"Oct 01, 1982 (Sep)",07:30,10.1%,Â,9.8%,
"Sep 01, 1982 (Aug)",07:30,9.8%,Â,9.8%,
"Aug 01, 1982 (Jul)",07:30,9.8%,Â,9.6%,
"Jul 01, 1982 (Jun)",07:30,9.6%,Â,9.4%,
"Jun 01, 1982 (May)",07:30,9.4%,Â,9.3%,
"May 01, 1982 (Apr)",07:30,9.3%,Â,9%,
"Apr 01, 1982 (Mar)",07:30,9%,Â,8.9%,
"Mar 01, 1982 (Feb)",07:30,8.9%,Â,8.6%,
"Feb 01, 1982 (Jan)",07:30,8.6%,Â,8.5%,
"Jan 01, 1982 (Dec)",07:30,8.5%,Â,8.3%,
"Dec 01, 1981 (Nov)",07:30,8.3%,Â,7.9%,
"Nov 01, 1981 (Oct)",07:30,7.9%,Â,7.6%,
"Oct 01, 1981 (Sep)",07:30,7.6%,Â,7.4%,
"Sep 01, 1981 (Aug)",07:30,7.4%,Â,7.2%,
"Aug 01, 1981 (Jul)",07:30,7.2%,Â,7.5%,
"Jul 01, 1981 (Jun)",07:30,7.5%,Â,7.5%,
"Jun 01, 1981 (May)",07:30,7.5%,Â,7.2%,
"May 01, 1981 (Apr)",07:30,7.2%,Â,7.4%,
"Apr 01, 1981 (Mar)",07:30,7.4%,Â,7.4%,
"Mar 01, 1981 (Feb)",07:30,7.4%,Â,7.5%,
"Feb 01, 1981 (Jan)",07:30,7.5%,Â,7.2%,
"Jan 01, 1981 (Dec)",07:30,7.2%,Â,7.5%,
"Dec 01, 1980 (Nov)",07:30,7.5%,Â,7.5%,
"Nov 01, 1980 (Oct)",07:30,7.5%,Â,7.5%,
"Oct 01, 1980 (Sep)",07:30,7.5%,Â,7.7%,
"Sep 01, 1980 (Aug)",07:30,7.7%,Â,7.8%,
"Aug 01, 1980 (Jul)",07:30,7.8%,Â,7.6%,
"Jul 01, 1980 (Jun)",07:30,7.6%,Â,7.5%,
"Jun 01, 1980 (May)",07:30,7.5%,Â,6.9%,
"May 01, 1980 (Apr)",07:30,6.9%,Â,6.3%,
"Apr 01, 1980 (Mar)",07:30,6.3%,Â,6.3%,
"Mar 01, 1980 (Feb)",07:30,6.3%,Â,6.3%,
"Feb 01, 1980 (Jan)",07:30,6.3%,Â,6%,
"Jan 01, 1980 (Dec)",07:30,6%,Â,5.9%,
"Dec 01, 1979 (Nov)",07:30,5.9%,Â,6%,
"Nov 01, 1979 (Oct)",07:30,6%,Â,5.9%,
"Oct 01, 1979 (Sep)",07:30,5.9%,Â,6%,
"Sep 01, 1979 (Aug)",07:30,6%,Â,5.7%,
"Aug 01, 1979 (Jul)",07:30,5.7%,Â,5.7%,
"Jul 01, 1979 (Jun)",07:30,5.7%,Â,5.6%,
"Jun 01, 1979 (May)",07:30,5.6%,Â,5.8%,
"May 01, 1979 (Apr)",07:30,5.8%,Â,5.8%,
"Apr 01, 1979 (Mar)",07:30,5.8%,Â,5.9%,
"Mar 01, 1979 (Feb)",07:30,5.9%,Â,5.9%,
"Feb 01, 1979 (Jan)",07:30,5.9%,Â,6%,
"Jan 01, 1979 (Dec)",07:30,6%,Â,5.9%,
"Dec 01, 1978 (Nov)",07:30,5.9%,Â,5.8%,
"Nov 01, 1978 (Oct)",07:30,5.8%,Â,6%,
"Oct 01, 1978 (Sep)",07:30,6%,Â,5.9%,
"Sep 01, 1978 (Aug)",07:30,5.9%,Â,6.2%,
"Aug 01, 1978 (Jul)",07:30,6.2%,Â,5.9%,
"Jul 01, 1978 (Jun)",07:30,5.9%,Â,6%,
"Jun 01, 1978 (May)",07:30,6%,Â,6.1%,
"May 01, 1978 (Apr)",07:30,6.1%,Â,6.3%,
"Apr 01, 1978 (Mar)",07:30,6.3%,Â,6.3%,
"Mar 01, 1978 (Feb)",07:30,6.3%,Â,6.4%,
"Feb 01, 1978 (Jan)",07:30,6.4%,Â,6.4%,
"Jan 01, 1978 (Dec)",07:30,6.4%,Â,6.8%,
"Dec 01, 1977 (Nov)",07:30,6.8%,Â,6.8%,
"Nov 01, 1977 (Oct)",07:30,6.8%,Â,6.8%,
"Oct 01, 1977 (Sep)",07:30,6.8%,Â,7%,
"Sep 01, 1977 (Aug)",07:30,7%,Â,6.9%,
"Aug 01, 1977 (Jul)",07:30,6.9%,Â,7.2%,
"Jul 01, 1977 (Jun)",07:30,7.2%,Â,7%,
"Jun 01, 1977 (May)",07:30,7%,Â,7.2%,
"May 01, 1977 (Apr)",07:30,7.2%,Â,7.4%,
"Apr 01, 1977 (Mar)",07:30,7.4%,Â,7.6%,
"Mar 01, 1977 (Feb)",07:30,7.6%,Â,7.5%,
"Feb 01, 1977 (Jan)",07:30,7.5%,Â,7.8%,
"Jan 01, 1977 (Dec)",07:30,7.8%,Â,7.8%,
"Dec 01, 1976 (Nov)",07:30,7.8%,Â,7.7%,
"Nov 01, 1976 (Oct)",07:30,7.7%,Â,7.6%,
"Oct 01, 1976 (Sep)",07:30,7.6%,Â,7.8%,
"Sep 01, 1976 (Aug)",07:30,7.8%,Â,7.8%,
"Aug 01, 1976 (Jul)",07:30,7.8%,Â,7.6%,
"Jul 01, 1976 (Jun)",07:30,7.6%,Â,7.4%,
"Jun 01, 1976 (May)",07:30,7.4%,Â,7.7%,
"May 01, 1976 (Apr)",07:30,7.7%,Â,7.6%,
"Apr 01, 1976 (Mar)",07:30,7.6%,Â,7.7%,
"Mar 01, 1976 (Feb)",07:30,7.7%,Â,7.9%,
"Feb 01, 1976 (Jan)",07:30,7.9%,Â,8.2%,
"Jan 01, 1976 (Dec)",07:30,8.2%,Â,8.3%,
"Dec 01, 1975 (Nov)",07:30,8.3%,Â,8.4%,
"Nov 01, 1975 (Oct)",07:30,8.4%,Â,8.4%,
"Oct 01, 1975 (Sep)",07:30,8.4%,Â,8.4%,
"Sep 01, 1975 (Aug)",07:30,8.4%,Â,8.6%,
"Aug 01, 1975 (Jul)",07:30,8.6%,Â,8.8%,
"Jul 01, 1975 (Jun)",07:30,8.8%,Â,9%,
"Jun 01, 1975 (May)",07:30,9%,Â,8.8%,
"May 01, 1975 (Apr)",07:30,8.8%,Â,8.6%,
"Apr 01, 1975 (Mar)",07:30,8.6%,Â,8.1%,
"Mar 01, 1975 (Feb)",07:30,8.1%,Â,8.1%,
"Feb 01, 1975 (Jan)",07:30,8.1%,Â,7.2%,
"Jan 01, 1975 (Dec)",07:30,7.2%,Â,6.6%,
"Dec 01, 1974 (Nov)",07:30,6.6%,Â,6%,
"Nov 01, 1974 (Oct)",07:30,6%,Â,5.9%,
"Oct 01, 1974 (Sep)",07:30,5.9%,Â,5.5%,
"Sep 01, 1974 (Aug)",07:30,5.5%,Â,5.5%,
"Aug 01, 1974 (Jul)",07:30,5.5%,Â,5.4%,
"Jul 01, 1974 (Jun)",07:30,5.4%,Â,5.1%,
"Jun 01, 1974 (May)",07:30,5.1%,Â,5.1%,
"May 01, 1974 (Apr)",07:30,5.1%,Â,5.1%,
"Apr 01, 1974 (Mar)",07:30,5.1%,Â,5.2%,
"Mar 01, 1974 (Feb)",07:30,5.2%,Â,5.1%,
"Feb 01, 1974 (Jan)",07:30,5.1%,Â,4.9%,
"Jan 01, 1974 (Dec)",07:30,4.9%,Â,4.8%,
"Dec 01, 1973 (Nov)",07:30,4.8%,Â,4.6%,
"Nov 01, 1973 (Oct)",07:30,4.6%,Â,4.8%,
"Oct 01, 1973 (Sep)",07:30,4.8%,Â,4.8%,
"Sep 01, 1973 (Aug)",07:30,4.8%,Â,4.8%,
"Aug 01, 1973 (Jul)",07:30,4.8%,Â,4.9%,
"Jul 01, 1973 (Jun)",07:30,4.9%,Â,4.9%,
"Jun 01, 1973 (May)",07:30,4.9%,Â,5%,
"May 01, 1973 (Apr)",07:30,5%,Â,4.9%,
"Apr 01, 1973 (Mar)",07:30,4.9%,Â,5%,
"Mar 01, 1973 (Feb)",07:30,5%,Â,4.9%,
"Feb 01, 1973 (Jan)",07:30,4.9%,Â,5.2%,
"Jan 01, 1973 (Dec)",07:30,5.2%,Â,5.3%,
"Dec 01, 1972 (Nov)",07:30,5.3%,Â,5.6%,
"Nov 01, 1972 (Oct)",07:30,5.6%,Â,5.5%,
"Oct 01, 1972 (Sep)",07:30,5.5%,Â,5.6%,
"Sep 01, 1972 (Aug)",07:30,5.6%,Â,5.6%,
"Aug 01, 1972 (Jul)",07:30,5.6%,Â,5.7%,
"Jul 01, 1972 (Jun)",07:30,5.7%,Â,5.7%,
"Jun 01, 1972 (May)",07:30,5.7%,Â,5.7%,
"May 01, 1972 (Apr)",07:30,5.7%,Â,5.8%,
"Apr 01, 1972 (Mar)",07:30,5.8%,Â,5.7%,
"Mar 01, 1972 (Feb)",07:30,5.7%,Â,5.8%,
"Feb 01, 1972 (Jan)",07:30,5.8%,Â,6%,
"Jan 01, 1972 (Dec)",07:30,6%,Â,6%,
"Dec 01, 1971 (Nov)",07:30,6%,Â,5.8%,
"Nov 01, 1971 (Oct)",07:30,5.8%,Â,6%,
"Oct 01, 1971 (Sep)",07:30,6%,Â,6.1%,
"Sep 01, 1971 (Aug)",07:30,6.1%,Â,6%,
"Aug 01, 1971 (Jul)",07:30,6%,Â,5.9%,
"Jul 01, 1971 (Jun)",07:30,5.9%,Â,5.9%,
"Jun 01, 1971 (May)",07:30,5.9%,Â,5.9%,
"May 01, 1971 (Apr)",07:30,5.9%,Â,6%,
"Apr 01, 1971 (Mar)",07:30,6%,Â,5.9%,
"Mar 01, 1971 (Feb)",07:30,5.9%,Â,5.9%,
"Feb 01, 1971 (Jan)",07:30,5.9%,Â,6.1%,
"Jan 01, 1971 (Dec)",07:30,6.1%,Â,5.9%,
"Dec 01, 1970 (Nov)",07:30,5.9%,Â,5.5%,
"Nov 01, 1970 (Oct)",07:30,5.5%,Â,5.4%,
"Oct 01, 1970 (Sep)",07:30,5.4%,Â,5.1%,
"Sep 01, 1970 (Aug)",07:30,5.1%,Â,5%,
"Aug 01, 1970 (Jul)",07:30,5%,Â,4.9%,
"Jul 01, 1970 (Jun)",07:30,4.9%,Â,4.8%,
"Jun 01, 1970 (May)",07:30,4.8%,Â,4.6%,
"May 01, 1970 (Apr)",07:30,4.6%,Â,4.4%,
"Apr 01, 1970 (Mar)",07:30,4.4%,Â,4.2%,
"Mar 01, 1970 (Feb)",07:30,4.2%,Â,3.9%,
"Feb 01, 1970 (Jan)",07:30,3.9%,Â,3.5%,
"Jan 01, 1970 (Dec)",07:30,3.5%,Â,3.5%,
