Release Date,Time,Actual,Forecast,Previous,Unnamed: 5
"Oct 06, 2017 (Sep)",07:30,4.2%,4.4%,4.4%,
"Sep 01, 2017 (Aug)",07:30,4.4%,4.3%,4.3%,
"Aug 04, 2017 (Jul)",07:30,4.3%,4.3%,4.4%,
"Jul 07, 2017 (Jun)",07:30,4.4%,4.3%,4.3%,
"Jun 02, 2017 (May)",07:30,4.3%,4.4%,4.4%,
"May 05, 2017 (Apr)",07:30,4.4%,4.6%,4.5%,
"Apr 07, 2017 (Mar)",07:30,4.5%,4.7%,4.7%,
"Mar 10, 2017 (Feb)",08:30,4.7%,4.7%,4.8%,
"Feb 03, 2017 (Jan)",08:30,4.8%,4.7%,4.7%,
"Jan 06, 2017 (Dec)",08:30,4.7%,4.7%,4.6%,
"Dec 02, 2016 (Nov)",08:30,4.6%,4.9%,4.9%,
"Nov 04, 2016 (Oct)",07:30,4.9%,4.9%,5.0%,
"Oct 07, 2016 (Sep)",07:30,5.0%,4.9%,4.9%,
"Sep 02, 2016 (Aug)",07:30,4.9%,4.8%,4.9%,
"Aug 05, 2016 (Jul)",07:30,4.9%,4.8%,4.9%,
"Jul 08, 2016 (Jun)",07:30,4.9%,4.8%,4.7%,
"Jun 03, 2016 (May)",07:30,4.7%,4.9%,5.0%,
"May 06, 2016 (Apr)",07:30,5.0%,5.0%,5.0%,
"Apr 01, 2016 (Mar)",07:30,5.0%,4.9%,4.9%,
"Mar 04, 2016 (Feb)",08:30,4.9%,4.9%,4.9%,
"Feb 05, 2016 (Jan)",08:30,4.9%,5.0%,5.0%,
"Jan 08, 2016 (Dec)",08:30,5.0%,5.0%,5.0%,
"Dec 04, 2015 (Nov)",08:30,5.0%,5.0%,5.0%,
"Nov 06, 2015 (Oct)",08:30,5.0%,5.1%,5.1%,
"Oct 02, 2015 (Sep)",07:30,5.1%,5.1%,5.1%,
"Sep 04, 2015 (Aug)",07:30,5.1%,5.2%,5.3%,
"Aug 07, 2015 (Jul)",07:30,5.3%,5.3%,5.3%,
"Jul 02, 2015 (Jun)",07:30,5.3%,5.4%,5.5%,
"Jun 05, 2015 (May)",07:30,5.5%,5.4%,5.4%,
"May 08, 2015 (Apr)",07:30,5.4%,5.4%,5.5%,
"Apr 03, 2015 (Mar)",07:30,5.5%,5.5%,5.5%,
"Mar 06, 2015 (Feb)",08:30,5.5%,5.6%,5.7%,
"Feb 06, 2015 (Jan)",08:30,5.7%,5.6%,5.6%,
"Jan 09, 2015 (Dec)",08:30,5.6%,5.7%,5.8%,
"Dec 05, 2014 (Nov)",08:30,5.8%,5.8%,5.8%,
"Nov 07, 2014 (Oct)",08:30,5.8%,5.9%,5.9%,
"Oct 03, 2014 (Sep)",07:30,5.9%,6.1%,6.1%,
"Sep 05, 2014",07:30,6.1%,6.1%,6.2%,
"Aug 01, 2014",07:30,6.2%,6.1%,6.1%,
"Jul 03, 2014",07:30,6.1%,6.3%,6.3%,
"Jun 06, 2014",07:30,6.3%,6.4%,6.3%,
"May 02, 2014",07:30,6.3%,6.6%,6.7%,
"Apr 04, 2014",07:30,6.7%,6.6%,6.7%,
"Mar 07, 2014",08:30,6.7%,6.6%,6.6%,
"Feb 07, 2014",08:30,6.6%,6.7%,6.7%,
"Jan 10, 2014",08:30,6.7%,7.0%,7.0%,
"Dec 06, 2013",08:30,7.0%,7.2%,7.3%,
"Nov 08, 2013",08:30,7.3%,7.3%,7.2%,
"Oct 22, 2013",07:30,7.2%,7.3%,7.3%,
"Sep 06, 2013",07:30,7.3%,7.4%,7.4%,
"Aug 02, 2013",07:30,7.4%,7.5%,7.6%,
"Jul 05, 2013",07:30,7.6%,7.5%,7.6%,
"Jun 07, 2013",07:30,7.6%,7.5%,7.5%,
"May 03, 2013",07:30,7.5%,7.6%,7.6%,
"Apr 05, 2013",07:30,7.6%,7.7%,7.7%,
"Mar 08, 2013",08:30,7.7%,7.9%,7.9%,
"Feb 01, 2013",08:30,7.9%,7.8%,7.8%,
"Jan 04, 2013",08:30,7.8%,7.7%,7.8%,
"Dec 07, 2012",08:30,7.7%,7.9%,7.9%,
"Nov 02, 2012",07:30,7.9%,7.9%,7.8%,
"Oct 05, 2012",07:30,7.8%,8.2%,8.1%,
"Sep 07, 2012",07:30,8.1%,8.3%,8.3%,
"Aug 03, 2012",07:30,8.3%,8.2%,8.2%,
"Jul 06, 2012",07:30,8.2%,8.2%,8.2%,
"Jun 01, 2012",07:30,8.2%,8.1%,8.1%,
"May 04, 2012",07:30,8.1%,8.2%,8.2%,
"Apr 06, 2012",07:30,8.2%,8.3%,8.3%,
"Mar 09, 2012",08:30,8.3%,8.3%,8.3%,
"Feb 03, 2012",08:30,8.3%,8.5%,8.5%,
"Jan 06, 2012",08:30,8.5%,8.7%,8.7%,
"Dec 02, 2011",08:30,8.6%,9.0%,9.0%,
"Nov 04, 2011",07:30,9.0%,9.1%,9.1%,
"Oct 07, 2011",07:30,9.1%,9.1%,9.1%,
"Sep 02, 2011",07:30,9.1%,9.1%,9.1%,
"Aug 05, 2011",07:30,9.1%,9.2%,9.2%,
"Jul 08, 2011",07:30,9.2%,9.1%,9.1%,
"Jun 03, 2011",07:30,9.1%,9.0%,9.0%,
"May 06, 2011",07:30,9.0%,8.8%,8.8%,
"Apr 01, 2011",07:30,8.8%,8.9%,8.9%,
"Mar 04, 2011",08:30,8.9%,9.1%,9.0%,
"Feb 04, 2011",08:30,9.0%,9.6%,9.4%,
"Jan 07, 2011",08:30,9.4%,9.7%,9.8%,
"Dec 03, 2010",08:30,9.8%,9.6%,9.6%,
"Nov 05, 2010",07:30,9.6%,9.6%,9.6%,
"Oct 08, 2010",07:30,9.6%,9.7%,9.6%,
"Sep 03, 2010",07:30,9.6%,9.6%,9.5%,
"Aug 06, 2010",07:30,9.5%,9.6%,9.5%,
"Jul 02, 2010",07:30,9.5%,9.8%,9.7%,
"Jun 04, 2010",07:30,9.7%,9.8%,9.9%,
"May 07, 2010",07:30,9.9%,9.7%,9.7%,
"Apr 02, 2010",07:30,9.7%,9.7%,9.7%,
"Mar 05, 2010",08:30,9.7%,9.8%,9.7%,
"Feb 05, 2010",08:30,9.7%,10.0%,10.0%,
"Jan 08, 2010",08:30,10.0%,10.1%,10.0%,
"Dec 04, 2009",08:30,10.0%,10.2%,10.2%,
"Nov 06, 2009",08:30,10.2%,9.9%,9.8%,
"Oct 02, 2009",07:30,9.8%,9.8%,9.7%,
"Sep 04, 2009",07:30,9.7%,9.5%,9.4%,
"Aug 07, 2009",07:30,9.4%,9.6%,9.5%,
"Jul 02, 2009",07:30,9.5%,9.6%,9.4%,
"Jun 05, 2009",07:30,9.4%,9.2%,8.9%,
"May 08, 2009",07:30,8.9%,8.9%,8.5%,
"Apr 03, 2009",07:30,8.5%,8.5%,8.1%,
"Mar 06, 2009",08:30,8.1%,7.9%,7.6%,
"Feb 06, 2009",08:30,7.6%,7.5%,7.2%,
"Jan 09, 2009",08:30,7.2%,7.0%,6.7%,
"Dec 05, 2008",08:30,6.7%,6.8%,6.5%,
"Nov 07, 2008",08:30,6.5%,6.3%,6.1%,
"Oct 03, 2008",07:30,6.1%,6.1%,6.1%,
"Sep 05, 2008",07:30,6.1%,5.7%,5.7%,
"Aug 01, 2008",07:30,5.7%,5.6%,5.5%,
"Jul 03, 2008 (Jun)",07:30,5.5%,Â,5.5%,
"Jun 01, 2008 (May)",07:30,5.5%,Â,5.0%,
"May 01, 2008 (Apr)",07:30,5%,Â,5.1%,
"Apr 01, 2008 (Mar)",07:30,5.1%,Â,4.9%,
"Mar 01, 2008 (Feb)",07:30,4.9%,Â,5%,
"Feb 01, 2008 (Jan)",07:30,5%,Â,5%,
"Jan 01, 2008 (Dec)",07:30,5%,Â,4.7%,
"Dec 01, 2007 (Nov)",07:30,4.7%,Â,4.7%,
"Nov 01, 2007 (Oct)",07:30,4.7%,Â,4.7%,
"Oct 01, 2007 (Sep)",07:30,4.7%,Â,4.6%,
"Sep 01, 2007 (Aug)",07:30,4.6%,Â,4.7%,
"Aug 01, 2007 (Jul)",07:30,4.7%,Â,4.6%,
"Jul 01, 2007 (Jun)",07:30,4.6%,Â,4.4%,
"Jun 01, 2007 (May)",07:30,4.4%,Â,4.5%,
"May 01, 2007 (Apr)",07:30,4.5%,Â,4.4%,
"Apr 01, 2007 (Mar)",07:30,4.4%,Â,4.5%,
"Mar 01, 2007 (Feb)",07:30,4.5%,Â,4.6%,
"Feb 01, 2007 (Jan)",07:30,4.6%,Â,4.4%,
"Jan 01, 2007 (Dec)",07:30,4.4%,Â,4.5%,
"Dec 01, 2006 (Nov)",07:30,4.5%,Â,4.4%,
"Nov 01, 2006 (Oct)",07:30,4.4%,Â,4.5%,
"Oct 01, 2006 (Sep)",07:30,4.5%,Â,4.7%,
"Sep 01, 2006 (Aug)",07:30,4.7%,Â,4.7%,
"Aug 01, 2006 (Jul)",07:30,4.7%,Â,4.6%,
"Jul 01, 2006 (Jun)",07:30,4.6%,Â,4.6%,
"Jun 01, 2006 (May)",07:30,4.6%,Â,4.7%,
"May 01, 2006 (Apr)",07:30,4.7%,Â,4.7%,
"Apr 01, 2006 (Mar)",07:30,4.7%,Â,4.8%,
"Mar 01, 2006 (Feb)",07:30,4.8%,Â,4.7%,
"Feb 01, 2006 (Jan)",07:30,4.7%,Â,4.9%,
"Jan 01, 2006 (Dec)",07:30,4.9%,Â,5%,
"Dec 01, 2005 (Nov)",07:30,5%,Â,5%,
"Nov 01, 2005 (Oct)",07:30,5%,Â,5%,
"Oct 01, 2005 (Sep)",07:30,5%,Â,4.9%,
"Sep 01, 2005 (Aug)",07:30,4.9%,Â,5%,
