Year,Month,Day,CPI
2000,1,1,78.9707207568715
2000,1,2,78.9707207568715
2000,1,3,78.9707207568715
2000,1,4,78.9707207568715
2000,1,5,78.9707207568715
2000,1,6,78.9707207568715
2000,1,7,78.9707207568715
2000,1,8,78.9707207568715
2000,1,9,78.9707207568715
2000,1,10,78.9707207568715
2000,1,11,78.9707207568715
2000,1,12,78.9707207568715
2000,1,13,78.9707207568715
2000,1,14,78.9707207568715
2000,1,15,78.9707207568715
2000,1,16,78.9707207568715
2000,1,17,78.9707207568715
2000,1,18,78.9707207568715
2000,1,19,78.9707207568715
2000,1,20,78.9707207568715
2000,1,21,78.9707207568715
2000,1,22,78.9707207568715
2000,1,23,78.9707207568715
2000,1,24,78.9707207568715
2000,1,25,78.9707207568715
2000,1,26,78.9707207568715
2000,1,27,78.9707207568715
2000,1,28,78.9707207568715
2000,1,29,78.9707207568715
2000,1,30,78.9707207568715
2000,1,31,78.9707207568715
2000,2,1,78.9707207568715
2000,2,2,78.9707207568715
2000,2,3,78.9707207568715
2000,2,4,78.9707207568715
2000,2,5,78.9707207568715
2000,2,6,78.9707207568715
2000,2,7,78.9707207568715
2000,2,8,78.9707207568715
2000,2,9,78.9707207568715
2000,2,10,78.9707207568715
2000,2,11,78.9707207568715
2000,2,12,78.9707207568715
2000,2,13,78.9707207568715
2000,2,14,78.9707207568715
2000,2,15,78.9707207568715
2000,2,16,78.9707207568715
2000,2,17,78.9707207568715
2000,2,18,78.9707207568715
2000,2,19,78.9707207568715
2000,2,20,78.9707207568715
2000,2,21,78.9707207568715
2000,2,22,78.9707207568715
2000,2,23,78.9707207568715
2000,2,24,78.9707207568715
2000,2,25,78.9707207568715
2000,2,26,78.9707207568715
2000,2,27,78.9707207568715
2000,2,28,78.9707207568715
2000,2,29,78.9707207568715
2000,3,1,78.9707207568715
2000,3,2,78.9707207568715
2000,3,3,78.9707207568715
2000,3,4,78.9707207568715
2000,3,5,78.9707207568715
2000,3,6,78.9707207568715
2000,3,7,78.9707207568715
2000,3,8,78.9707207568715
2000,3,9,78.9707207568715
2000,3,10,78.9707207568715
2000,3,11,78.9707207568715
2000,3,12,78.9707207568715
2000,3,13,78.9707207568715
2000,3,14,78.9707207568715
2000,3,15,78.9707207568715
2000,3,16,78.9707207568715
2000,3,17,78.9707207568715
2000,3,18,78.9707207568715
2000,3,19,78.9707207568715
2000,3,20,78.9707207568715
2000,3,21,78.9707207568715
2000,3,22,78.9707207568715
2000,3,23,78.9707207568715
2000,3,24,78.9707207568715
2000,3,25,78.9707207568715
2000,3,26,78.9707207568715
2000,3,27,78.9707207568715
2000,3,28,78.9707207568715
2000,3,29,78.9707207568715
2000,3,30,78.9707207568715
2000,3,31,78.9707207568715
2000,4,1,78.9707207568715
2000,4,2,78.9707207568715
2000,4,3,78.9707207568715
2000,4,4,78.9707207568715
2000,4,5,78.9707207568715
2000,4,6,78.9707207568715
2000,4,7,78.9707207568715
2000,4,8,78.9707207568715
2000,4,9,78.9707207568715
2000,4,10,78.9707207568715
2000,4,11,78.9707207568715
2000,4,12,78.9707207568715
2000,4,13,78.9707207568715
2000,4,14,78.9707207568715
2000,4,15,78.9707207568715
2000,4,16,78.9707207568715
2000,4,17,78.9707207568715
2000,4,18,78.9707207568715
2000,4,19,78.9707207568715
2000,4,20,78.9707207568715
2000,4,21,78.9707207568715
2000,4,22,78.9707207568715
2000,4,23,78.9707207568715
2000,4,24,78.9707207568715
2000,4,25,78.9707207568715
2000,4,26,78.9707207568715
2000,4,27,78.9707207568715
2000,4,28,78.9707207568715
2000,4,29,78.9707207568715
2000,4,30,78.9707207568715
2000,5,1,78.9707207568715
