Year,Month,Day,CPI,DfF,GDP,Leading_index,Manufacturing_PMI,Services_PMI,Unemployment_Rate,Closing price
2000,2,3,78.9707207568715,,10250952000000.0,101.3058,,,3.992,
2000,2,4,78.9707207568715,,10250952000000.0,101.3058,,,3.992,
2000,2,5,78.9707207568715,,10250952000000.0,101.3058,,,3.992,
2000,2,6,78.9707207568715,,10250952000000.0,101.3058,,,3.992,
2000,2,7,78.9707207568715,,10250952000000.0,101.3058,,,3.992,
2000,2,8,78.9707207568715,,10250952000000.0,101.3058,,,3.992,
2000,2,9,78.9707207568715,,10250952000000.0,101.3058,,,3.992,
2000,2,10,78.9707207568715,,10250952000000.0,101.3058,,,3.992,
2000,2,11,78.9707207568715,,10250952000000.0,101.3058,,,3.992,
2000,2,12,78.9707207568715,,10250952000000.0,101.3058,,,3.992,
2000,2,13,78.9707207568715,,10250952000000.0,101.3058,,,3.992,
2000,2,14,78.9707207568715,,10250952000000.0,101.3058,,,3.992,
2000,2,15,78.9707207568715,,10250952000000.0,101.3058,,,3.992,
2000,2,16,78.9707207568715,,10250952000000.0,101.3058,,,3.992,
2000,2,17,78.9707207568715,,10250952000000.0,101.3058,,,3.992,
2000,2,18,78.9707207568715,,10250952000000.0,101.3058,,,3.992,
2000,2,19,78.9707207568715,,10250952000000.0,101.3058,,,3.992,
2000,2,20,78.9707207568715,,10250952000000.0,101.3058,,,3.992,
2000,2,21,78.9707207568715,,10250952000000.0,101.3058,,,3.992,
2000,2,22,78.9707207568715,,10250952000000.0,101.3058,,,3.992,
2000,2,23,78.9707207568715,,10250952000000.0,101.3058,,,3.992,
2000,2,24,78.9707207568715,,10250952000000.0,101.3058,,,3.992,
2000,2,25,78.9707207568715,,10250952000000.0,101.3058,,,3.992,
2000,2,26,78.9707207568715,,10250952000000.0,101.3058,,,3.992,
2000,2,27,78.9707207568715,,10250952000000.0,101.3058,,,3.992,
2000,2,28,78.9707207568715,,10250952000000.0,101.3058,,,3.992,
2000,2,29,78.9707207568715,,10250952000000.0,101.3058,,,3.992,
2000,3,1,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
2000,3,2,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
2000,3,3,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
2000,3,4,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
2000,3,5,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
2000,3,6,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
2000,3,7,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
2000,3,8,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
2000,3,9,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
2000,3,10,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
2000,3,11,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
2000,3,12,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
2000,3,13,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
2000,3,14,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
2000,3,15,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
2000,3,16,78.9707207568715,,10250952000000.0,101.2088,,,3.992,
